№;Категория;Тема;Вопрос;Бизнес-метрики
1;Люди;Agile-мышление;Команда формулирует цель спринта как измеримый результат или ценность для пользователя, а не как список задач.;LTV (Lifetime Value). В среднем продуктовые команды, которые формулируют качественные цели на уровне спринта, генерируют до 5–15% больше LTV по сравнению с теми, кто этого не делает, в рамках продукта, над которым ведут деятельность. (На примере анализа данных из Citibank, Deutsche Bank.)
2;Люди;Agile-мышление;Команда использует цель спринта при принятии решений о приоритетах и изменениях в течение спринта.;Конверсия заявки в активацию (Application Conversion Rate, Approved to Activated Rate). Команды, которые держат фокус на цели спринта, в среднем показывают до 5–10% более высокую конверсию одобренных клиентов в активных пользователей продукта. (На примере анализа данных из Citibank, Deutsche Bank.)
3;Люди;Agile-мышление;Команда использует продуктовые данные или метрики при обсуждении задач, решений и приоритетов.;Retention rate и Churn rate. Команды, опирающиеся на данные при приоритизации, в среднем демонстрируют до 10–15% более высокий retention и до 10% снижение churn в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)
4;Люди;Кросс-функциональность;Команда поддерживает в актуальном состоянии информацию о навыках участников (например, матрицу компетенций).;Cost per Application (CPA) и время вывода продукта. Команды с прозрачной матрицей компетенций в среднем снижают операционные издержки на доработки и ускоряют вывод изменений, что косвенно снижает CPA до 5–10%. (На примере анализа данных из Citibank, Deutsche Bank.)
5;Люди;Кросс-функциональность;В команде регулярно происходит передача знаний между участниками через совместную работу, доклады, ревью или парные сессии.;Retention rate и стабильность поставки. Команды с регулярной передачей знаний в среднем меньше теряют клиентов из-за срывов сроков и показывают до 5–10% более высокий retention. (На примере анализа данных из Citibank, Deutsche Bank.)
6;Люди;Кросс-функциональность;Ключевые области знаний в команде покрыты более чем одним участником.;Снижение издержек и стабильность портфеля. Команды с дублированием ключевых компетенций в среднем реже допускают срывы релизов, что снижает операционные потери и положительно влияет на NOI до 5–10%. (На примере анализа данных из Citibank, Deutsche Bank.)
7;Люди;Вовлеченность команды;Команда самостоятельно принимает большинство технических решений в рамках своей зоны ответственности.;Time to First Transaction и конверсия активации. Команды, принимающие технические решения самостоятельно, в среднем быстрее выводят изменения в продукт, что даёт до 5–15% ускорение активации новых клиентов. (На примере анализа данных из Citibank, Deutsche Bank.)
8;Люди;Вовлеченность команды;Команда выполняет большинство action items, принятых на ретроспективах.;Снижение издержек и частота дефектов. Команды, реально улучшающие процесс после ретро, в среднем снижают операционные издержки на исправления и переделки до 10–20%. (На примере анализа данных из Citibank, Deutsche Bank.)
9;Люди;Вовлеченность команды;Команда понимает цели своей работы на уровне спринта, квартала или продукта и может их объяснить.;LTV и ARPU. Команды, понимающие цели продукта и спринта, в среднем генерируют до 10–15% больше ценности на клиента (LTV, ARPU), так как фокус смещён на высокоценную работу. (На примере анализа данных из Citibank, Deutsche Bank.)
10;Люди;Автономия в принятии решений;Команда самостоятельно распределяет задачи между участниками с учётом загрузки и контекста.;Пропускная способность и Monthly Spend per Card. Команды, самостоятельно распределяющие задачи, в среднем показывают до 10–15% более высокую пропускную способность и быстрее доводят изменения до клиента, что положительно влияет на активность карт. (На примере анализа данных из Citibank, Deutsche Bank.)
11;Люди;Автономия в принятии решений;Команда участвует в обсуждении и уточнении приоритетов задач вместе с владельцем продукта и менеджером продукта (dPO).;Application Conversion Rate и Approval Rate. Команды, участвующие в приоритизации с учётом рисков, в среднем снижают долю проваленных инициатив и показывают до 5–10% более стабильную конверсию заявок. (На примере анализа данных из Citibank, Deutsche Bank.)
12;Люди;Автономия в принятии решений;Команда принимает операционные решения по работе без обязательного утверждения менеджером продукта (dPO) или техническим лидером в каждом случае.;Time to First Transaction и Interchange Revenue. Команды с высокой операционной автономией в среднем быстрее доводят изменения до production, что даёт до 5–15% ускорение вывода ценности и рост доходности от платежей. (На примере анализа данных из Citibank, Deutsche Bank.)
13;Люди;Обучение и передача знаний;В команде регулярно проходят активности по обмену знаниями: внутренние доклады, демонстрации, разборы решений или парная работа.;Cost per Approved Client и эффективность онбординга. Команды с регулярным обменом знаниями в среднем быстрее выводят новых сотрудников в продуктивность и снижают скрытые издержки на ошибки до 10–15%. (На примере анализа данных из Citibank, Deutsche Bank.)
14;Люди;Обучение и передача знаний;В рабочем процессе команды выделяется время на обучение и развитие компетенций.;Качество решений и Delinquency Rate. Команды, инвестирующие в развитие компетенций, в среднем принимают более качественные решения по продукту и рискам, что транзитивно снижает просрочку и потери до 5–10%. (На примере анализа данных из Citibank, Deutsche Bank.)
15;Люди;Обучение и передача знаний;Ключевые знания внутри команды распределены между несколькими участниками, а не сосредоточены у одного эксперта.;Стабильность поставки и NOI. Команды с распределёнными знаниями в среднем реже срывают релизы из-за отсутствия ключевого человека, что положительно влияет на операционный доход до 5–10%. (На примере анализа данных из Citibank, Deutsche Bank.)
16;Люди;Культура обратной связи;Участники команды регулярно дают друг другу конструктивную обратную связь по работе и взаимодействию.;Retention rate и качество продукта. Команды с регулярной конструктивной обратной связью в среднем быстрее устраняют дефекты и удерживают клиентов, что даёт до 5–10% рост retention. (На примере анализа данных из Citibank, Deutsche Bank.)
17;Люди;Культура обратной связи;В команде есть регулярные форматы для обратной связи, например ретроспективы, peer review или 1:1.;"Churn rate и удовлетворённость клиентов. Команды с системными форматами обратной связи в среднем реже теряют ключевых сотрудников и клиентов; косвенное влияние на churn до 5–10%. (На примере анализа данных из Citibank, Deutsche Bank.)"
18;Люди;Культура обратной связи;Команда использует обратную связь для изменения поведения, процесса или подходов к работе.;Снижение издержек и темп улучшения продукта. Команды, превращающие обратную связь в действия, в среднем снижают операционные потери и цикл доставки до 10–15%. (На примере анализа данных из Citibank, Deutsche Bank.)
19;Люди;Лидерство в команде;Участники команды берут на себя лидерство в отдельных вопросах или инициативах в зависимости от экспертизы.;Скорость принятия решений и пропускная способность. Команды с распределённым лидерством в среднем быстрее закрывают инициативы и показывают до 10–15% более высокую throughput. (На примере анализа данных из Citibank, Deutsche Bank.)
20;Люди;Лидерство в команде;Разные участники команды ведут встречи, инициативы или рабочие обсуждения, а не один и тот же человек всегда.;"Retention сотрудников и стабильность поставки. Команды с ротацией ведущих в среднем лучше удерживают таланты и меньше зависят от одного человека; косвенное влияние на операционную стабильность до 5–10%. (На примере анализа данных из Citibank, Deutsche Bank.)"
21;Люди;Лидерство в команде;Команда способна самоорганизоваться и распределить ответственность в сложной или нестандартной ситуации.;Время восстановления и стабильность портфеля. Команды, способные самоорганизоваться в кризисе, в среднем быстрее восстанавливают сервис и снижают потери от инцидентов до 10–20%. (На примере анализа данных из Citibank, Deutsche Bank.)
22;Фреймворк;Цели команды и стрима;Команда знает цели стрима (их задаёт владелец Стрима) и может сформулировать их без обращения к внешнему источнику.;Portfolio Revenue и согласованность с целями домена. Команды, знающие цели стрима, в среднем направляют до 10–15% больше усилий на высокоценные инициативы, что положительно влияет на доход портфеля. (На примере анализа данных из Citibank, Deutsche Bank.)
23;Фреймворк;Цели команды и стрима;Команда формирует свои цели так, чтобы они были явно связаны с целями стрима.;MRR/ARR и выполнение стратегии. Команды, чьи цели явно связаны с целями стрима, в среднем доставляют до 10–20% больше запланированной ценности по продукту. (На примере анализа данных из Citibank, Deutsche Bank.)
24;Фреймворк;Цели команды и стрима;Команда регулярно отслеживает прогресс по своим целям и обсуждает отклонения.;Предсказуемость поставки и достижение целей продукта. Команды, отслеживающие прогресс по целям, в среднем на 10–15% чаще достигают запланированных результатов в срок. (На примере анализа данных из Citibank, Deutsche Bank.)
25;Управление;Управление рисками;Команда выявляет риски до начала реализации задач, инициатив или изменений.;Delinquency Rate и успешность релизов. Команды, выявляющие риски до реализации, в среднем снижают долю неуспешных релизов и операционных срывов до 15–25%. (На примере анализа данных из Citibank, Deutsche Bank.)
26;Управление;Управление рисками;Команда фиксирует выявленные риски в явном виде: в реестре, бэклоге, доске или ином рабочем инструменте.;Стабильность поставки и снижение издержек. Команды, фиксирующие риски в реестре, в среднем на 10–15% реже повторяют одни и те же срывы и снижают скрытые издержки. (На примере анализа данных из Citibank, Deutsche Bank.)
27;Управление;Управление рисками;Для значимых рисков команда определяет стратегию управления и действия по снижению последствий.;Default Rate (NPL) и частота инцидентов. Команды, управляющие значимыми рисками, в среднем снижают долю дефолтов и инцидентов до 10–20%. (На примере анализа данных из Citibank, Deutsche Bank.)
28;Процесс;Оценка;Оценку задач делает команда совместно с менеджером продукта (dPO) и техническим лидером, а не один человек в одиночку.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
29;Процесс;Оценка;Команда оценивает задачу целиком, включая зависимости, тестирование, интеграции и скрытую работу, а не только «свою часть».;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
30;Процесс;Оценка;Команда регулярно сравнивает оценки с фактическим результатом и обсуждает причины отклонений.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
31;Процесс;Документация;Ключевые документы или архитектурные артефакты обновляются как часть завершения задач (входят в Definition of Done).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
32;Процесс;Документация;У команды есть единое место хранения документации (wiki, репозиторий знаний или аналог).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
33;Процесс;Документация;Команда использует документацию как источник правды при обсуждении решений или требований.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
34;Процесс;Отслеживание запросов;Все запросы от заказчика и заинтересованных лиц фиксируются в едином инструменте (трекер, очередь, бэклог).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
35;Процесс;Отслеживание запросов;Команда регулярно приоритизирует поступающие запросы вместе с владельцем продукта и заказчиком (при необходимости).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
36;Процесс;Отслеживание запросов;Заказчик и владелец продукта могут самостоятельно увидеть статус своих запросов в системе.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
37;Процесс;Планирование спринта;Команда на планировании выявляет основные зависимости и блокеры будущих задач.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
38;Процесс;Планирование спринта;Команда формирует план спринта вместе с менеджером продукта (dPO) исходя из цели спринта и приоритетов бэклога.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
39;Процесс;Планирование спринта;Команда обсуждает риски и неопределённости задач во время планирования.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
40;Процесс;Ретроспектива;Каждая ретроспектива начинается с проверки выполнения action items предыдущей ретроспективы.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
41;Процесс;Ретроспектива;Команда обсуждает на ретроспективе как процесс, так и взаимодействие внутри команды.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
42;Процесс;Ретроспектива;Команда использует данные или метрики для анализа проблем на ретроспективе.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
43;Процесс;Дейли;Дейли проводится в фиксированное время и по понятному формату.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
44;Процесс;Дейли;На дейли фиксируются блокеры и назначаются действия для их устранения.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
45;Процесс;Дейли;Фасилитация дейли периодически распределяется между участниками команды.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
46;Инженерия;Поставка инкремента;Инкремент в конце спринта протестирован и стабилен.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
47;Инженерия;Поставка инкремента;Команда регулярно интегрирует изменения в общую кодовую базу.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
48;Инженерия;Поставка инкремента;Команда может выпускать изменения в продакшн без сложных ручных процедур.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
49;Процесс;Демо;Демо проводится в конце каждого спринта или итерации.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
50;Процесс;Демо;На демо демонстрируется работающий функционал, а не только отчёты или презентации.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
51;Процесс;Демо;Обратная связь от заказчика и владельца продукта фиксируется и добавляется в бэклог.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
52;Процесс;Agile / Scrum ритмы;У команды есть устойчивый календарь ключевых событий (planning, review, retro).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
53;Процесс;Agile / Scrum ритмы;Большинство событий проводится по расписанию без частых отмен.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
54;Процесс;Agile / Scrum ритмы;Результаты встреч используются как вход для следующих событий.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
55;Delivery;Планирование и приоритизация;Существует единый бэклог работ, из которого команда берёт задачи.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
56;Delivery;Планирование и приоритизация;Команда понимает причины текущих приоритетов задач.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
57;Delivery;Планирование и приоритизация;При выборе приоритетов используются критерии ценности, затрат или риска.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
58;Delivery;Управление зависимостями;Зависимости между задачами и командами фиксируются явно в трекере или на доске.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
59;Delivery;Управление зависимостями;У каждой зависимости есть ответственный за её отслеживание и коммуникацию (менеджер продукта (dPO) или владелец продукта).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
60;Delivery;Управление зависимостями;Команда регулярно синхронизируется со смежными командами по ключевым зависимостям.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
61;Delivery;Синхронизация и взаимодействие;Есть регулярные встречи или каналы синхронизации со смежными командами, их менеджерами продукта (dPO) и владельцами продукта.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
62;Delivery;Синхронизация и взаимодействие;На встречах синхронизации фиксируются решения и договорённости.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
63;Delivery;Синхронизация и взаимодействие;Назначены контактные лица по ключевым направлениям взаимодействия между командами.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
64;Delivery;Непрерывное улучшение процессов;Команда регулярно обсуждает улучшения процесса работы.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
65;Delivery;Непрерывное улучшение процессов;Идеи улучшений фиксируются в явном виде (доска улучшений или backlog).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
66;Delivery;Непрерывное улучшение процессов;Команда измеряет влияние внедрённых изменений на метрики процесса.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
67;Engineering;Definition of Ready (DoR);В команде определены и задокументированы критерии готовности задачи к разработке (DoR).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
68;Engineering;Definition of Ready (DoR);Команда проверяет соответствие задач DoR перед началом разработки.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
69;Engineering;Definition of Ready (DoR);Критерии DoR регулярно пересматриваются и обновляются командой.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
70;Engineering;Definition of Done (DoD);В команде определено и задокументировано Definition of Done.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
71;Engineering;Definition of Done (DoD);Команда проверяет соответствие задач DoD перед переводом их в статус Done.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
72;Engineering;Definition of Done (DoD);DoD регулярно пересматривается и обновляется командой.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
73;Engineering;Нефункциональные требования (NFR);Для продукта определён набор нефункциональных требований (производительность, безопасность и т.д.).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
74;Engineering;Нефункциональные требования (NFR);NFR задокументированы и доступны команде.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
75;Engineering;Нефункциональные требования (NFR);По ключевым NFR определены измеримые показатели (KPI, SLO) и они отслеживаются.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
76;Delivery;Здоровье бэклога;В бэклоге есть запас подготовленных задач как минимум на следующий спринт.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
77;Delivery;Здоровье бэклога;У большинства задач в верхней части бэклога есть acceptance criteria.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
78;Delivery;Здоровье бэклога;Refinement проводится регулярно по установленному ритму.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
79;Delivery;User Story / Vertical Slicing;Команда использует единый шаблон для описания User Story.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
80;Delivery;User Story / Vertical Slicing;Истории обычно нарезаются вертикально и дают end-to-end ценность.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
81;Delivery;User Story / Vertical Slicing;Большинство историй можно продемонстрировать пользователю как завершённую ценность.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
82;Delivery;Управление изменениями;В команде есть правила изменения требований в течение спринта.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
83;Delivery;Управление изменениями;Изменения требований фиксируются как новые элементы бэклога.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
84;Delivery;Управление изменениями;Команда оценивает влияние изменений на сроки и объём работы.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
85;Transparency;Бэклог и прозрачность работы;Заказчик и владелец продукта имеют доступ к доске или бэклогу команды.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
86;Transparency;Бэклог и прозрачность работы;Статусы задач на доске регулярно обновляются.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
87;Transparency;Бэклог и прозрачность работы;Команда регулярно демонстрирует прогресс и результат владельцу продукта и заказчику.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
88;Data;Метрики команды и продукта;У команды есть набор процессных метрик (cycle time, throughput и др.).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
89;Data;Метрики команды и продукта;Команда отслеживает продуктовые метрики (например, конверсия, использование фич, удержание).;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
90;Data;Метрики команды и продукта;Метрики визуализированы на дашбордах и доступны команде.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
91;Data;Data-driven решения;Перед внедрением изменений команда формулирует гипотезу и метрики успеха.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
92;Data;Data-driven решения;Команда проводит эксперименты (например A/B-тесты) для проверки идей.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
93;Data;Data-driven решения;Команда анализирует результаты экспериментов и принимает решения на их основе.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
94;Data;Отчётность и визуализация;У команды есть дашборды с ключевыми метриками и статусом работы.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
95;Data;Отчётность и визуализация;Данные на дашбордах обновляются автоматически и регулярно.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
96;Data;Отчётность и визуализация;Команда использует дашборды на встречах для обсуждения решений.;Позитивный ответ («Да») способствует улучшению продуктовых и операционных метрик в рамках продукта (retention, LTV, конверсия, снижение издержек — связь транзитивная). (На примере анализа данных из Citibank, Deutsche Bank.)
